month,division,line,period,num_passengers,additional train time
2016-05,A DIVISION,7,offpeak,4927701.5,1.36
2016-05,A DIVISION,3,peak,4443593.5,1.44
2016-05,A DIVISION,2,offpeak,5298013.9,1.95
2016-05,A DIVISION,4,peak,7026772.7,2.28
2016-05,A DIVISION,1,offpeak,6975514.2,1.00
2016-05,A DIVISION,7,peak,5719917.0,1.82
2016-05,A DIVISION,5,peak,5385558.3,2.58
2016-05,A DIVISION,6,offpeak,8748763.5,1.03
2016-05,A DIVISION,6,peak,9539007.3,1.49
2016-05,A DIVISION,S 42nd,peak,1795287.2,0.45
2016-05,A DIVISION,4,offpeak,6552062.3,1.84
2016-05,A DIVISION,1,peak,7214705.0,1.07
2016-06,A DIVISION,1,offpeak,6947052.6,1.09
2016-06,A DIVISION,5,peak,4660946.2,2.36
2016-06,A DIVISION,5,offpeak,4815817.4,2.19
2016-06,A DIVISION,3,peak,3752974.8,1.33
2016-06,A DIVISION,S 42nd,offpeak,1423775.0,0.44
2016-06,A DIVISION,1,peak,5837215.5,1.09
2016-06,A DIVISION,2,offpeak,5695693.1,1.97
2016-06,A DIVISION,4,offpeak,6622841.2,1.92
2016-06,A DIVISION,7,peak,5370899.3,1.37
2016-06,A DIVISION,6,offpeak,9083503.3,1.09
2016-06,A DIVISION,S 42nd,peak,1444318.1,0.47
2016-06,A DIVISION,6,peak,8039349.6,1.56
2016-06,A DIVISION,3,offpeak,4356606.3,1.29
2016-06,A DIVISION,2,peak,5073241.2,1.72
2016-06,A DIVISION,7,offpeak,5844006.3,1.09
2016-06,A DIVISION,4,peak,5984991.7,2.10
2016-07,A DIVISION,2,offpeak,4496927.4,2.02
2016-07,A DIVISION,5,peak,4615365.1,2.33
2016-07,A DIVISION,7,offpeak,4636675.1,0.83
2016-07,A DIVISION,1,offpeak,5587045.8,0.98
2016-07,A DIVISION,4,peak,5882353.3,2.20
2016-07,A DIVISION,3,offpeak,3418851.9,1.41
2016-07,A DIVISION,3,peak,3741016.5,1.30
2016-07,A DIVISION,S 42nd,offpeak,1075672.4,0.42
2016-07,A DIVISION,2,peak,4855279.1,1.65
2016-07,A DIVISION,S 42nd,peak,1540974.3,0.45
2016-07,A DIVISION,5,offpeak,3833554.6,1.99
2016-07,A DIVISION,6,offpeak,7379959.5,1.02
2016-07,A DIVISION,1,peak,5975943.3,1.05
2016-07,A DIVISION,4,offpeak,5588355.2,1.75
2016-07,A DIVISION,6,peak,8067171.4,1.66
2016-07,A DIVISION,7,peak,5058566.0,1.02
2016-08,A DIVISION,3,peak,4478713.7,1.36
2016-08,A DIVISION,6,peak,9569860.1,1.19
2016-08,A DIVISION,5,offpeak,4620837.0,1.92
2016-08,A DIVISION,1,offpeak,6909740.0,0.96
2016-08,A DIVISION,4,offpeak,6485996.1,1.58
2016-08,A DIVISION,S 42nd,offpeak,1482992.9,0.42
2016-08,A DIVISION,2,offpeak,4618732.3,1.99
2016-08,A DIVISION,4,peak,6934151.2,1.87
2016-08,A DIVISION,1,peak,7248465.3,1.02
2016-08,A DIVISION,5,peak,5531406.0,2.04
2016-08,A DIVISION,2,peak,5083204.8,1.58
2016-08,A DIVISION,7,offpeak,5567392.5,0.88
2016-08,A DIVISION,3,offpeak,4173980.3,1.42
2016-08,A DIVISION,6,offpeak,8789450.1,0.93
2016-08,A DIVISION,7,peak,6095276.0,0.81
2016-08,A DIVISION,S 42nd,peak,2081484.6,0.45
2016-09,A DIVISION,5,offpeak,3955492.9,2.02
2016-09,A DIVISION,5,peak,4714047.4,2.66
2016-09,A DIVISION,4,offpeak,5650988.3,1.82
2016-09,A DIVISION,6,peak,7923947.6,1.67
2016-09,A DIVISION,7,offpeak,4790421.0,0.91
2016-09,A DIVISION,2,peak,4933388.7,2.06
2016-09,A DIVISION,S 42nd,offpeak,1203436.5,0.41
2016-09,A DIVISION,4,peak,5865473.0,2.34
2016-09,A DIVISION,7,peak,5201347.2,0.89
2016-09,A DIVISION,3,peak,3662879.2,1.68
2016-09,A DIVISION,1,peak,5859161.0,1.40
2016-09,A DIVISION,6,offpeak,7398200.4,1.11
2016-09,A DIVISION,2,offpeak,4574934.7,2.03
2016-09,A DIVISION,3,offpeak,3464900.4,1.45
2016-09,A DIVISION,1,offpeak,5724317.6,1.17
2016-09,A DIVISION,S 42nd,peak,1687866.6,0.44
2016-10,A DIVISION,5,offpeak,4565923.0,2.13
2016-10,A DIVISION,7,offpeak,5273369.2,0.81
2016-10,A DIVISION,1,offpeak,6988561.6,1.12
2016-10,A DIVISION,2,peak,5224700.6,1.79
2016-10,A DIVISION,7,peak,6043674.0,1.40
2016-10,A DIVISION,3,peak,4293157.9,1.39
2016-10,A DIVISION,S 42nd,peak,2005588.0,0.45
2016-10,A DIVISION,6,offpeak,8853338.4,1.20
2016-10,A DIVISION,S 42nd,offpeak,1396097.0,0.39
2016-10,A DIVISION,4,peak,7150373.0,2.42
2016-10,A DIVISION,2,offpeak,4315840.1,2.09
2016-10,A DIVISION,6,peak,9780943.6,1.60
2016-10,A DIVISION,3,offpeak,3962084.3,1.35
2016-10,A DIVISION,1,peak,7414585.4,1.37
2016-10,A DIVISION,4,offpeak,6630442.0,1.87
2016-10,A DIVISION,5,peak,5622677.0,2.56
2016-11,A DIVISION,1,peak,7656383.0,1.35
2016-11,A DIVISION,5,peak,5511771.3,2.93
2016-11,A DIVISION,1,offpeak,7131105.6,1.24
2016-11,A DIVISION,3,offpeak,3837651.8,1.39
2016-11,A DIVISION,2,peak,5912079.8,2.01
2016-11,A DIVISION,6,offpeak,8835660.4,1.18
2016-11,A DIVISION,6,peak,9899882.0,1.91
2016-11,A DIVISION,7,peak,6034832.2,1.10
2016-11,A DIVISION,4,offpeak,6270410.0,1.97
2016-11,A DIVISION,4,peak,6915065.0,2.79
2016-11,A DIVISION,3,peak,4361831.4,1.56
2016-11,A DIVISION,S 42nd,peak,2100630.7,0.45
2016-11,A DIVISION,2,offpeak,5198731.0,2.03
2016-11,A DIVISION,S 42nd,offpeak,1572361.3,0.42
2016-11,A DIVISION,5,offpeak,4544638.3,2.32
2016-11,A DIVISION,7,offpeak,5158299.1,0.77
2016-12,A DIVISION,1,peak,7312645.0,1.28
2016-12,A DIVISION,6,offpeak,8339360.2,1.27
2016-12,A DIVISION,4,offpeak,5884623.7,2.01
2016-12,A DIVISION,7,offpeak,4849312.1,0.98
2016-12,A DIVISION,S 42nd,peak,2025310.3,0.45
2016-12,A DIVISION,S 42nd,offpeak,1381093.2,0.39
2016-12,A DIVISION,5,peak,5298836.6,3.00
2016-12,A DIVISION,5,offpeak,4206455.9,2.29
2016-12,A DIVISION,1,offpeak,6474756.1,1.05
2016-12,A DIVISION,6,peak,9631818.1,2.02
2016-12,A DIVISION,3,peak,4236564.9,1.52
2016-12,A DIVISION,4,peak,6655825.2,2.71
2016-12,A DIVISION,2,offpeak,4867704.2,1.97
2016-12,A DIVISION,2,peak,5701969.7,2.12
2016-12,A DIVISION,3,offpeak,3530429.1,1.31
2016-12,A DIVISION,7,peak,5797314.6,1.38
2017-01,A DIVISION,2,peak,5493764.6,2.23
2017-01,A DIVISION,3,peak,4001389.1,1.70
2017-01,A DIVISION,S 42nd,offpeak,1436597.4,0.42
2017-01,A DIVISION,6,peak,9109188.2,1.89
2017-01,A DIVISION,5,peak,5158677.2,3.12
2017-01,A DIVISION,S 42nd,peak,2007887.7,0.46
2017-01,A DIVISION,3,offpeak,3668651.1,1.30
2017-01,A DIVISION,2,offpeak,5011766.0,1.82
2017-01,A DIVISION,7,offpeak,4881631.3,1.06
2017-01,A DIVISION,6,offpeak,8526915.7,1.09
2017-01,A DIVISION,5,offpeak,4353329.7,2.30
2017-01,A DIVISION,4,peak,6424876.4,2.65
2017-01,A DIVISION,4,offpeak,6104089.7,2.12
2017-01,A DIVISION,1,offpeak,6647702.5,0.99
2017-01,A DIVISION,7,peak,5537885.3,1.34
2017-01,A DIVISION,1,peak,6828863.2,1.13
2017-02,A DIVISION,3,peak,3715088.1,1.73
2017-02,A DIVISION,3,offpeak,3220713.2,1.57
2017-02,A DIVISION,1,peak,6424336.4,1.34
2017-02,A DIVISION,4,offpeak,5162430.7,1.95
2017-02,A DIVISION,S 42nd,peak,1503578.6,0.45
2017-02,A DIVISION,2,offpeak,4492902.0,2.19
2017-02,A DIVISION,6,offpeak,6814986.6,1.12
2017-02,A DIVISION,7,peak,4989411.4,1.56
2017-02,A DIVISION,5,offpeak,3677077.0,2.29
2017-02,A DIVISION,6,peak,7736127.4,1.71
2017-02,A DIVISION,7,offpeak,4284940.1,1.13
2017-02,A DIVISION,S 42nd,offpeak,1017633.6,0.40
2017-02,A DIVISION,1,offpeak,5760922.5,1.23
2017-02,A DIVISION,2,peak,5117337.1,2.32
2017-02,A DIVISION,5,peak,4582401.2,2.80
2017-02,A DIVISION,4,peak,5712582.3,2.31
2017-03,A DIVISION,6,peak,8802039.5,1.83
2017-03,B DIVISION,S Rock,offpeak,43408.2,0.38
2017-03,B DIVISION,D,peak,4142693.8,2.14
2017-03,B DIVISION,S Fkln,peak,263944.3,0.81
2017-03,A DIVISION,4,offpeak,6000105.9,1.81
2017-03,B DIVISION,M,offpeak,2874865.6,1.06
2017-03,B DIVISION,R,offpeak,4867429.6,0.91
2017-03,B DIVISION,R,peak,5790988.6,0.86
2017-03,B DIVISION,L,peak,4617527.2,0.09
2017-03,B DIVISION,E,offpeak,4242948.9,1.53
2017-03,A DIVISION,5,peak,5280163.6,3.05
2017-03,B DIVISION,JZ,peak,2049005.0,2.47
2017-03,B DIVISION,Q,peak,4699273.6,1.96
2017-03,B DIVISION,S Fkln,offpeak,248860.3,0.83
2017-03,A DIVISION,3,offpeak,3530256.2,1.32
2017-03,B DIVISION,N,offpeak,3042271.5,1.71
2017-03,B DIVISION,D,offpeak,4136077.9,1.36
2017-03,B DIVISION,W,peak,2228674.9,1.22
2017-03,B DIVISION,Q,offpeak,3968235.3,1.77
2017-03,A DIVISION,7,offpeak,4858670.7,1.30
2017-03,B DIVISION,B,peak,4056925.4,2.16
2017-03,A DIVISION,2,offpeak,5076511.8,1.94
2017-03,B DIVISION,A,peak,6334551.1,1.94
2017-03,B DIVISION,L,offpeak,4324406.6,0.02
2017-03,A DIVISION,S 42nd,offpeak,896612.8,0.40
2017-03,B DIVISION,B,offpeak,2487745.5,1.62
2017-03,B DIVISION,E,peak,5342643.6,1.59
2017-03,B DIVISION,A,offpeak,5009766.4,1.86
2017-03,A DIVISION,4,peak,6690928.2,2.51
2017-03,A DIVISION,7,peak,5746878.8,1.39
2017-03,B DIVISION,N,peak,3587503.3,1.91
2017-03,B DIVISION,W,offpeak,1417240.2,1.12
2017-03,B DIVISION,F,peak,6982053.2,1.81
2017-03,A DIVISION,6,offpeak,7676649.8,1.05
2017-03,B DIVISION,G,offpeak,1547217.7,1.44
2017-03,B DIVISION,S Rock,peak,30631.9,0.45
2017-03,B DIVISION,G,peak,1923242.2,1.41
2017-03,B DIVISION,JZ,offpeak,1812890.4,2.05
2017-03,A DIVISION,3,peak,4281110.0,1.71
2017-03,B DIVISION,M,peak,3389133.3,1.42
2017-03,A DIVISION,1,peak,7173584.6,1.30
2017-03,A DIVISION,1,offpeak,6284463.7,0.94
2017-03,A DIVISION,5,offpeak,4219253.6,2.24
2017-03,B DIVISION,C,peak,3127778.2,0.97
2017-03,A DIVISION,2,peak,5837775.3,2.16
2017-03,A DIVISION,S 42nd,peak,1428663.0,0.46
2017-03,B DIVISION,F,offpeak,5420373.0,1.50
2017-03,B DIVISION,C,offpeak,3220541.1,0.88
2017-04,B DIVISION,M,peak,3027442.1,1.46
2017-04,A DIVISION,2,offpeak,5061554.9,1.93
2017-04,A DIVISION,5,peak,4526010.6,2.89
2017-04,B DIVISION,N,peak,3206374.9,1.79
2017-04,B DIVISION,D,peak,3702535.2,2.31
2017-04,B DIVISION,Q,offpeak,4087951.1,1.60
2017-04,A DIVISION,7,peak,4951237.7,1.63
2017-04,B DIVISION,B,peak,3614390.4,2.02
2017-04,B DIVISION,L,offpeak,4698893.6,0.09
2017-04,A DIVISION,5,offpeak,4123839.1,2.22
2017-04,B DIVISION,L,peak,4272254.1,0.06
2017-04,A DIVISION,7,offpeak,4772065.9,1.16
2017-04,A DIVISION,4,offpeak,5701493.5,1.81
2017-04,B DIVISION,W,offpeak,1496873.6,1.00
2017-04,A DIVISION,4,peak,5617643.7,2.42
2017-04,B DIVISION,B,offpeak,2617166.1,1.46
2017-04,B DIVISION,S Fkln,offpeak,291654.0,0.83
2017-04,B DIVISION,N,offpeak,3148665.8,1.45
2017-04,B DIVISION,D,offpeak,4343378.8,1.41
2017-04,A DIVISION,1,offpeak,6584952.1,0.97
2017-04,B DIVISION,R,offpeak,5061479.5,0.80
2017-04,B DIVISION,JZ,peak,1941348.0,2.23
2017-04,B DIVISION,S Fkln,peak,255726.0,0.83
